year,location,season,species,individuals
2005,shrubland,spring,pgfv,12
2006,grassland,fall,dior,4
2006,grassland,fall,disp,17
2006,grassland,fall,pgfv,1
2006,grassland,spring,dior,9
2006,grassland,spring,disp,22
2006,grassland,spring,nemi,1
2006,grassland,spring,onar,3
2006,grassland,spring,pgfv,6
2006,shrubland,fall,dime,26
2006,shrubland,fall,dior,1
2006,shrubland,fall,disp,10
2006,shrubland,fall,pgfv,4
2006,shrubland,fall,pmer,1
2006,shrubland,spring,dime,36
2006,shrubland,spring,dior,2
2006,shrubland,spring,disp,10
2006,shrubland,spring,nemi,1
2006,shrubland,spring,onar,2
2006,shrubland,spring,pgfv,3
2006,shrubland,spring,pmer,1
2007,grassland,fall,dior,47
2007,grassland,fall,disp,10
2007,grassland,fall,onar,8
2007,grassland,fall,pgfv,12
2007,grassland,fall,pmle,3
2007,grassland,fall,remg,1
2007,grassland,spring,dior,6
2007,grassland,spring,disp,7
2007,grassland,spring,onar,2
2007,grassland,spring,pgfv,17
2007,grassland,spring,remg,5
2007,shrubland,fall,dime,69
2007,shrubland,fall,dior,25
2007,shrubland,fall,disp,26
2007,shrubland,fall,neal,3
2007,shrubland,fall,onar,6
2007,shrubland,fall,pgfv,13
2007,shrubland,fall,pmer,9
2007,shrubland,spring,chin,1
2007,shrubland,spring,dime,64
2007,shrubland,spring,dior,9
2007,shrubland,spring,disp,17
2007,shrubland,spring,onar,6
2007,shrubland,spring,pgfv,31
2007,shrubland,spring,pmer,11
2007,shrubland,spring,remg,2
2008,grassland,fall,dior,1
2008,grassland,fall,disp,1
2008,grassland,fall,neal,1
2008,grassland,fall,pgfv,4
2008,grassland,spring,dior,36
2008,grassland,spring,disp,3
2008,grassland,spring,onar,1
2008,grassland,spring,pgfv,10
2008,grassland,spring,pmbo,2
2008,shrubland,fall,dime,21
2008,shrubland,fall,dior,3
2008,shrubland,fall,disp,13
2008,shrubland,fall,neal,1
2008,shrubland,fall,pgfv,10
2008,shrubland,fall,pmle,2
2008,shrubland,spring,dime,57
2008,shrubland,spring,dior,23
2008,shrubland,spring,disp,20
2008,shrubland,spring,pgfv,2
2008,shrubland,spring,pmer,2
2009,grassland,fall,dior,10
2009,grassland,fall,disp,1
2009,grassland,fall,pgfv,16
2009,grassland,fall,spsp,1
2009,grassland,spring,dior,7
2009,grassland,spring,disp,1
2009,grassland,spring,neal,1
2009,grassland,spring,pgfv,16
2009,grassland,spring,spsp,1
2009,shrubland,fall,dime,40
2009,shrubland,fall,dior,12
2009,shrubland,fall,disp,17
2009,shrubland,fall,onar,1
2009,shrubland,fall,pgfv,18
2009,shrubland,fall,pmer,2
2009,shrubland,fall,pmle,1
2009,shrubland,spring,dime,69
2009,shrubland,spring,dior,7
2009,shrubland,spring,disp,19
2009,shrubland,spring,neal,1
2009,shrubland,spring,pgfv,15
2009,shrubland,spring,remg,1
2010,grassland,fall,dior,1
2010,grassland,fall,disp,1
2010,grassland,fall,onar,1
2010,grassland,fall,pgfv,5
2010,grassland,fall,pmma,3
2010,grassland,fall,spsp,1
2010,grassland,spring,dior,5
2010,grassland,spring,pgfv,4
2010,grassland,spring,spsp,1
2010,shrubland,fall,dime,20
2010,shrubland,fall,disp,5
2010,shrubland,fall,pgfv,2
2010,shrubland,spring,dime,29
2010,shrubland,spring,disp,8
2010,shrubland,spring,onsp,1
2010,shrubland,spring,pgfv,8
2011,grassland,fall,dime,1
2011,grassland,fall,dior,4
2011,grassland,fall,disp,2
2011,grassland,fall,pgfv,2
2011,grassland,fall,spsp,1
2011,grassland,spring,dior,1
2011,grassland,spring,pgfv,3
2011,shrubland,fall,dime,29
2011,shrubland,fall,disp,7
2011,shrubland,fall,onle,1
2011,shrubland,spring,dime,24
2011,shrubland,spring,disp,2
2011,shrubland,spring,onle,3
2011,shrubland,spring,pgfv,1
2011,shrubland,spring,spsp,1
2012,grassland,fall,dime,1
2012,grassland,fall,dior,3
2012,grassland,fall,onar,1
2012,grassland,fall,pgfv,20
2012,grassland,spring,dime,2
2012,grassland,spring,dior,8
2012,grassland,spring,disp,1
2012,grassland,spring,onsp,1
2012,grassland,spring,pgfv,6
2012,shrubland,fall,dime,25
2012,shrubland,fall,dior,1
2012,shrubland,fall,onar,3
2012,shrubland,fall,onle,4
2012,shrubland,fall,pgfv,3
2012,shrubland,fall,spsp,1
2012,shrubland,spring,dime,38
2012,shrubland,spring,disp,7
2012,shrubland,spring,onar,3
2012,shrubland,spring,onle,2
2012,shrubland,spring,onsp,3
2012,shrubland,spring,pele,1
2012,shrubland,spring,pgfv,1
2013,grassland,spring,dime,1
2013,grassland,spring,dior,4
2013,grassland,spring,onle,2
2013,grassland,spring,pgfv,2
2013,grassland,spring,spsp,1
2013,shrubland,fall,dime,26
2013,shrubland,fall,dior,1
2013,shrubland,fall,disp,2
2013,shrubland,spring,dime,21
2013,shrubland,spring,onar,1
2013,shrubland,spring,pema,1
2014,grassland,fall,dime,1
2014,grassland,fall,dior,12
2014,grassland,fall,disp,2
2014,grassland,fall,onar,6
2014,grassland,fall,pgfv,16
2014,grassland,fall,spsp,4
2014,grassland,spring,dior,24
2014,grassland,spring,disp,1
2014,grassland,spring,onar,3
2014,grassland,spring,pema,2
2014,grassland,spring,pgfv,46
2014,grassland,spring,spsp,4
2014,shrubland,fall,dime,60
2014,shrubland,fall,dior,11
2014,shrubland,fall,disp,2
2014,shrubland,fall,onar,15
2014,shrubland,fall,peer,5
2014,shrubland,fall,pele,4
2014,shrubland,fall,pema,3
2014,shrubland,fall,pgfv,23
2014,shrubland,fall,spsp,1
2014,shrubland,spring,dime,86
2014,shrubland,spring,dior,19
2014,shrubland,spring,disp,4
2014,shrubland,spring,neal,1
2014,shrubland,spring,nemi,2
2014,shrubland,spring,onar,1
2014,shrubland,spring,peer,2
2014,shrubland,spring,pele,13
2014,shrubland,spring,pele ,1
2014,shrubland,spring,pema,2
2014,shrubland,spring,pgfv,10
2015,grassland,spring,dime,1
2015,grassland,spring,dior,11
2015,grassland,spring,disp,6
2015,grassland,spring,nemi,2
2015,grassland,spring,onar,12
2015,grassland,spring,pele,1
2015,grassland,spring,pema,1
2015,grassland,spring,spsp,4
2015,shrubland,fall,dime,38
2015,shrubland,fall,dior,10
2015,shrubland,fall,disp,6
2015,shrubland,fall,neal,1
2015,shrubland,fall,nemi,1
2015,shrubland,fall,onar,4
2015,shrubland,fall,peer,7
2015,shrubland,fall,pgfv,2
2015,shrubland,fall,spsp,2
2015,shrubland,spring,dime,32
2015,shrubland,spring,dior,6
2015,shrubland,spring,disp,1
2015,shrubland,spring,nemi,1
2015,shrubland,spring,onar,3
2015,shrubland,spring,peer,3
2015,shrubland,spring,pele,1
2015,shrubland,spring,pema,4
2016,grassland,fall,dior,3
2016,grassland,fall,disp,7
2016,grassland,fall,onar,1
2016,grassland,fall,pgfv,4
2016,grassland,spring,dior,2
2016,grassland,spring,disp,7
2016,grassland,spring,onar,3
2016,grassland,spring,pgfv,2
2016,shrubland,fall,dime,12
2016,shrubland,fall,disp,2
2016,shrubland,fall,onar,1
2016,shrubland,fall,peer,1
2016,shrubland,fall,pele,1
2016,shrubland,fall,pgfv,1
2016,shrubland,fall,spsp,1
2016,shrubland,spring,dime,28
2016,shrubland,spring,disp,4
2016,shrubland,spring,onar,3
2016,shrubland,spring,peer,1
2016,shrubland,spring,remg,1
