year,plot,treatment,species,cover
2004,13_3,C,SCBR2,0.85
2004,7_2,C,KAPA,0.5
2004,20_1,C,BOER4,2.9
2004,18_3,C,MUAR2,0.1
2004,20_3,C,BAMU,7
2004,3_2,C,BAMU,1.5
2004,7_1,C,PAOB,1.35
2004,20_4,C,TOAN,1
2004,7_1,C,TOAN,1.5
2004,12_1,C,SPCR,0.25
2004,9_2,C,TOAN,1.75
2004,12_2,C,BOER4,1.65
2004,9_3,C,MELE2,0.5
2004,9_4,C,MELE2,1
2004,3_2,C,PLJA,0.85
2004,2_4,C,SPPO6,1
2004,9_3,C,BOSP,2
2004,13_3,C,PLJA,3.25
2004,2_1,C,BOER4,1.5
2004,20_2,C,MAPIP,4.75
2004,2_2,C,BOGR2,2.85
2004,12_3,C,SATR12,12
2004,20_1,C,GUSA2,1
2004,18_2,C,GUSA2,0.1
2004,9_3,C,KAPA,0.5
2004,18_2,C,SATR12,5
2004,9_1,C,ZIGR,1
2004,12_1,C,BAMU,2
2004,9_3,C,ZIGR,1.5
2004,12_2,C,BAMU,7
2004,20_1,C,MUAR2,0.75
2004,9_2,C,MUAR2,1.1
2004,20_3,C,BOER4,4.35
2004,7_1,C,SPCR,8.35
2004,7_4,C,SPCR,0.05
2004,7_2,C,MEMU3,1.5
2004,3_3,C,DABR,0.25
2004,7_1,C,CHSES,0.9
2004,13_4,C,PLJA,5.6
2004,12_3,C,GAPI,0.25
2004,20_4,C,SATR12,1
2004,9_2,C,GAPI,0.75
2004,9_3,C,CHSES,2.6
2004,15_4,C,SCBR2,0.1
2004,12_1,C,DABR,1.5
2004,15_4,C,HYFIC,1.75
2004,20_2,C,TOAN,2.75
2004,7_1,C,BAMU,5.5
2004,15_2,C,MELE2,0.1
2004,3_2,C,DABR,0.75
2004,13_2,C,PLJA,3.25
2004,2_3,C,SPPO6,2
2004,12_3,C,BOER4,1.9
2004,13_1,C,BOGR2,3
2004,5_1,C,PLJA,2.6
2004,12_2,C,HYFIC,1.5
2004,15_2,C,SATR12,3
2004,7_1,C,GAPI,0.25
2004,9_4,C,MAPIP,1
2004,5_2,C,PLJA,2.6
2004,2_3,C,SPCR,0.85
2004,20_2,C,BOER4,1.85
2004,12_1,C,BOER4,4.4
2004,3_3,C,BAMU,4
2004,20_2,C,CHSE7,0.55
2004,12_4,C,MELE2,0.25
2004,18_1,C,HYFIC,0.25
2004,13_1,C,PLJA,5.25
2004,3_4,C,BOGR2,0.85
2004,3_1,C,DABR,1.15
2004,7_1,C,BOER4,2
2004,13_3,C,SPCR,2.65
2004,9_1,C,MAPIP,0.1
2004,9_1,C,DIWI2,0.1
2004,5_3,C,PLJA,2.6
2004,12_1,C,CHER2,1.5
2004,7_1,C,HYFIC,0.25
2004,7_3,C,HYFIC,0.75
2004,20_4,C,BOER4,0.85
2004,3_3,C,BOER4,0.25
2004,2_2,C,SPPO6,0.5
2004,12_3,C,HODR,1.75
2004,15_3,C,HODR,0.25
2004,12_1,C,ARPU9,4.75
2004,5_4,C,CHSES,0.1
2004,5_3,C,BOGR2,2.85
2004,20_3,C,DIWI2,0.5
2004,15_4,C,SATR12,2
2004,15_2,C,HYFIC,3
2004,12_1,C,MELE2,2.5
2004,7_4,C,HYFIC,0.25
2004,5_3,C,SPCR,0.5
2004,5_4,C,BOER4,5.5
2004,20_4,C,LIPU4,0.25
2004,2_2,C,HODR,0.05
2004,20_1,C,SPPO6,0.25
2004,13_4,C,SPCR,1.75
2004,2_3,C,BOER4,0.15
2004,7_4,C,YUGL,0.25
2004,18_2,C,KAPA,0.25
2004,20_3,C,KAPA,0.1
2004,15_1,C,HYFIC,5.5
2004,15_3,C,HYFIC,2.6
2004,20_1,C,TOAN,1.5
2004,13_3,C,SOEL,0.9
2004,13_4,C,SOEL,1
2004,2_1,C,SOEL,0.35
2004,18_4,C,HODR,0.5
2004,13_4,C,BOGR2,1.5
2004,5_4,C,BOGR2,2
2004,7_1,C,BOGR2,0.5
2004,15_4,C,SPCR,0.4
2004,9_1,C,CHSES,0.9
2004,12_1,C,PEAN,0.3
2004,18_4,C,TOAN,0.5
2004,13_1,C,SOEL,0.25
2004,15_4,C,MELE2,1
2004,5_4,C,MELE2,0.85
2004,12_4,C,DABR,3.5
2004,2_2,C,DABR,0.25
2004,9_3,C,SPPO6,0.5
2004,3_2,C,SOEL,0.1
2004,3_3,C,SOEL,0.25
2004,7_4,C,BOGR2,3.35
2004,20_2,C,SPPO6,2.5
2004,9_1,C,SPPO6,3.75
2004,9_2,C,SPPO6,14.5
2004,9_1,C,BOER4,2.6
2004,9_4,C,SPPO6,0.25
2004,9_2,C,BOER4,1.95
2004,12_4,C,PEAN,0.1
2004,9_3,C,BOER4,2.5
2004,15_3,C,SPCR,1.35
2004,13_2,C,SOEL,0.1
2004,15_2,C,SPCR,0.2
2004,12_1,C,TOAN,0.75
2004,18_1,C,SPCR,0.1
2004,7_2,C,CHSES,1
2004,12_3,C,ARPU9,0.5
2004,7_3,C,BOER4,1.75
2004,2_2,C,SPCR,2.3
2004,9_2,C,CHSES,0.11
2004,12_2,C,ARPU9,1.25
2004,8_2,F,DABR,0.25
2004,19_4,F,BOGR2,0.75
2004,14_1,F,PLJA,0.9
2004,19_1,F,KAPA,1
2004,19_3,F,BOGR2,2.1
2004,6_2,F,PLJA,4.1
2004,8_1,F,PLJA,0.75
2004,14_4,F,PLJA,0.25
2004,6_4,F,PLJA,6
2004,1_4,F,PLJA,10
2004,1_3,F,PLJA,1.5
2004,11_1,F,SPFL2,5
2004,16_2,F,BOGR2,6.1
2004,10_4,F,SPFL2,2.75
2004,10_1,F,KAPA,7.5
2004,19_2,F,BOGR2,2.35
2004,11_3,F,GAPI,0.75
2004,17_1,F,MUAR2,0.85
2004,17_3,F,MUAR2,0.5
2004,11_3,F,KAPA,3.75
2004,19_1,F,MUAR2,0.4
2004,11_2,F,SPFL2,3.85
2004,6_3,F,PLJA,4
2004,1_3,F,BOGR2,10.1
2004,4_1,F,DABR,1.75
2004,10_2,F,DAPU7,0.35
2004,19_2,F,DAPU7,0.1
2004,14_4,F,BOGR2,0.75
2004,10_4,F,CHSES,5.25
2004,10_4,F,BOER4,0.25
2004,11_1,F,BOER4,0.25
2004,17_3,F,PLJA,6.1
2004,14_3,F,PLJA,0.85
2004,11_1,F,GAPI,1.5
2004,11_4,F,MAPIP,0.25
2004,19_4,F,CHSES,0.85
2004,1_2,F,PLJA,1
2004,11_2,F,DABR,0.5
2004,10_4,F,KAPA,6.5
2004,14_3,F,BOGR2,0.35
2004,10_1,F,CHSES,1.25
2004,10_2,F,CHSES,0.85
2004,10_3,F,EUEX4,0.5
2004,1_4,F,HYFIC,0.5
2004,10_1,F,HYFIC,0.5
2004,11_2,F,BOER4,1.85
2004,11_4,F,DABR,0.5
2004,10_4,F,DABR,0.25
2004,19_1,F,SPCO4,0.25
2004,11_1,F,CHSES,5
2004,19_2,F,KAPA,0.6
2004,14_1,F,BOGR2,1.85
2004,19_4,F,GUSA2,0.5
2004,11_1,F,MAPIP,0.5
2004,17_1,F,SPCR,0.85
2004,19_3,F,CHSES,1.25
2004,11_4,F,GAPI,4.5
2004,6_1,F,BOGR2,2.6
2004,11_1,F,BOGR2,0.5
2004,14_2,F,PLJA,1.75
2004,10_3,F,SPFL2,0.75
2004,16_1,F,PLJA,5.15
2004,4_1,F,BOGR2,2.6
2004,10_2,F,HYFIC,0.5
2004,8_1,F,HYFIC,0.5
2004,11_2,F,KAPA,2
2004,17_4,F,MELE2,0.5
2004,4_3,F,BOGR2,1.5
2004,16_4,F,PLJA,2.65
2004,11_3,F,BOER4,2.8
2004,11_4,F,BOER4,1.85
2004,10_3,F,BOBA2,0.35
2004,8_4,F,SPPO6,4
2004,10_2,F,GAPI,0.25
2004,16_3,F,BOGR2,6
2004,17_2,F,SPCR,0.25
2004,16_1,F,MAPIP,0.1
2004,10_2,F,SPFL2,1.5
2004,11_3,F,CHSES,0.15
2004,16_3,F,MUAR2,0.25
2004,17_4,F,PLJA,5.1
2004,1_3,F,SPHA,1.6
2004,19_3,F,KAPA,0.25
2004,8_1,F,KAPA,5.25
2004,4_4,F,SPCR,2.5
2004,4_4,F,BOGR2,1.1
2004,19_3,F,SPCO4,1.5
2004,17_1,F,PLJA,10.15
2004,17_3,F,SPCR,0.75
2004,17_3,F,MAPIP,1
2004,8_2,F,BOGR2,0.75
2004,1_4,F,CHSES,0.1
2004,10_1,F,BOER4,0.9
2004,10_2,F,EUEX4,0.1
2004,1_1,F,HYFIC,0.25
2004,10_2,F,BOER4,1.75
2004,10_3,F,BOER4,2.25
2004,8_4,F,TOAN,1.5
2004,10_1,F,BOGR2,1.5
2004,10_3,F,CHSES,5.1
2004,16_3,F,PLJA,1.65
2004,1_1,F,SPCR,0.9
2004,11_2,F,CHSES,0.5
2004,11_4,F,CHSES,0.75
2004,10_4,F,MAPIP,1.75
2004,6_3,F,BOGR2,1
2004,6_3,F,SATR12,0.75
2004,10_2,F,KAPA,0.6
2004,4_4,F,MAPIP,0.25
2004,8_3,F,MAPIP,0.75
2004,8_4,F,MAPIP,0.5
2004,1_2,F,BOGR2,2.6
2004,6_1,F,CHSES,0.4
2004,8_1,F,CHSES,2.6
2004,10_2,F,SPCR,1
2004,10_3,F,SPCR,0.85
2004,16_2,F,PLJA,2.6
2004,17_2,F,SPHA,1
2004,17_3,F,SPHA,3.25
2004,14_2,F,SPCR,0.35
2004,14_3,F,SPCR,0.85
2004,11_1,F,BOBA2,2
2004,19_2,F,CHSES,3.35
2004,6_2,F,BOGR2,2.5
2004,4_1,F,SATR12,5.5
2004,1_4,F,SPCR,1.65
2004,10_3,F,KAPA,1.75
2004,19_1,F,SPCR,0.9
2004,19_2,F,SPCR,1.25
2004,19_3,F,SPCR,1.95
2004,10_4,F,CHSE7,1
2004,4_2,F,SPCR,2.6
2004,19_2,F,SPFL2,0.35
2004,8_4,F,KAPA,1.5
2004,19_4,F,SPFL2,1.75
2004,6_1,F,SPCR,0.75
2004,19_2,F,HODR,0.5
2004,8_2,F,PLJA,0.85
2004,6_4,F,BOGR2,0.75
2004,1_1,F,BOGR2,2.65
2004,19_4,F,MUSQ3,0.25
2004,6_1,F,PLJA,6.1
2004,8_2,F,SPPO6,10
2004,11_1,F,MELE2,3
2004,4_2,F,BOGR2,2.5
2004,8_2,F,MELE2,0.5
2004,8_4,F,CHSES,4.25
2004,10_3,F,HODR,0.5
2004,14_1,F,HODR,0.5
2004,1_2,F,SPCR,0.9
2004,6_4,F,SOEL,3.5
2004,1_3,F,SPCR,1.65
2004,8_1,F,BOBA2,0.5
2004,8_1,F,BOGR2,0.75
2004,17_2,F,PLJA,6.35
2004,4_4,F,PLJA,4.1
2004,10_1,F,SPCR,1.85
2004,10_4,F,SPCR,0.85
2004,4_1,F,PLJA,2.66
2004,19_1,F,HODR,0.5
2004,8_2,F,HODR,0.25
2004,10_3,F,MAPIP,0.75
2004,17_3,F,SATR12,3
2004,8_1,F,BOER4,1.25
2004,8_2,F,BOER4,0.25
2004,8_3,F,BOER4,0.5
2004,14_2,F,SPPO6,3
2004,10_1,F,CHSE7,1.5
2004,10_2,F,CHSE7,0.5
2004,10_1,F,TOAN,2
2004,19_2,F,CHSE7,3
2004,19_3,F,CHSE7,0.75
2004,4_3,F,SPCR,1.5
2004,8_2,F,KAPA,0.5
2004,1_3,F,SOEL,0.35
2004,14_4,F,SPCR,0.6
2004,16_2,F,SPCR,0.6
2004,16_4,F,SPCR,1.1
2004,19_4,F,BOBA2,0.5
2004,8_3,F,PLJA,0.5
2004,17_4,F,SPCR,0.25
2004,14_1,F,SPPO6,5
2004,8_4,F,BOER4,0.85
2004,4_2,F,SPPO6,1.5
2004,10_1,F,CHLA10,1
2004,17_3,F,DIWI2,0.25
2004,16_1,F,SPCR,0.85
2004,6_1,F,SOEL,0.75
2004,19_1,F,BOER4,0.35
2004,14_3,F,SPPO6,3.5
2004,19_4,F,BOER4,0.25
2004,8_4,F,SPCR,0.75
2004,11_4,F,SPPO6,13
2004,8_2,F,CHSES,0.75
2004,19_4,F,PLJA,0.5
2004,19_1,F,BOBA2,0.5
2004,19_3,F,BOER4,0.75
2004,1_4,F,SOEL,0.5
2004,4_2,F,SPFL2,3.75
2004,8_3,F,SPFL2,2.5
2004,6_2,F,SOEL,0.5
2004,6_3,F,SOEL,0.5
2004,11_3,F,SPCR,1.1
2004,4_3,F,PLJA,4.1
2004,11_3,F,SPPO6,16.5
2004,17_2,F,MUPO2,0.5
2004,6_4,F,SPCR,0.5
2004,19_2,F,BOER4,0.75
2004,16_1,F,SPPO6,3.5
2004,10_4,F,TOAN,0.5
2004,11_2,F,TOAN,0.25
2004,8_3,F,TOAN,1.5
2004,8_3,F,CHSES,2.25
2004,1_2,F,SPHA,0.25
2004,11_1,F,SPCR,0.5
2004,4_2,F,PLJA,5.2
2004,10_1,F,SPPO6,2.5
2004,17_4,F,SPHA,0.75
2004,14_3,F,SOEL,0.25
2004,6_3,F,SPCR,0.85
2004,8_1,F,TILA2,0.25
2004,10_2,F,SPPO6,8
2004,10_3,F,SPPO6,4
2004,19_4,F,SPPO6,8
2004,11_2,F,TILA2,0.5
2004,1_3,F,SPPO6,0.75
2004,17_3,F,SPPO6,1.5
2004,14_4,F,SOEL,0.1
2004,19_2,F,TILA2,0.25
2004,4_2,F,ARPU9,1
2004,6_2,F,SPCR,1.75
2004,8_1,F,SPCR,0.4
2004,8_2,F,SPCR,0.85
2004,19_1,F,SPFL2,0.25
2004,11_2,F,SPPO6,0.5
2004,19_1,F,SPPO6,3
2005,5_2,C,BOGR2,4.65
2005,18_2,C,PLJA,3.25
2005,20_2,C,SPPO6,2.5
2005,15_3,C,PLJA,3.75
2005,20_1,C,BOER4,0.91
2005,20_3,C,BOER4,3.35
2005,15_4,C,PLJA,8.25
2005,12_1,C,ARPU9,1.5
2005,18_1,C,PLJA,1.5
2005,9_2,C,MUAR2,2
2005,5_1,C,BOGR2,1.9
2005,9_3,C,SPPO6,1.5
2005,20_2,C,MUAR2,0.75
2005,20_1,C,SPPO6,1.5
2005,3_1,C,PLJA,4.35
2005,3_4,C,PLJA,6.85
2005,18_1,C,BOER4,0.25
2005,9_3,C,BOER4,3.5
2005,18_3,C,PLJA,1.9
2005,5_3,C,BOGR2,1.6
2005,2_1,C,SPCR,1
2005,9_4,C,SPPO6,2
2005,18_4,C,PLJA,6.25
2005,20_4,C,BOER4,0.25
2005,20_2,C,BOER4,1.4
2005,12_2,C,ARPU9,0.75
2005,15_2,C,PLJA,7
2005,18_3,C,MUAR2,0.25
2005,20_1,C,MUAR2,0.1
2005,3_2,C,BOGR2,1.6
2005,12_2,C,BOER4,3.25
2005,12_3,C,BOER4,1.25
2005,12_4,C,BOER4,4.5
2005,13_3,C,MUAR2,0.75
2005,12_1,C,MELE2,4.5
2005,2_1,C,CHMI7,0.5
2005,2_3,C,SPPO6,3
2005,2_4,C,SPPO6,3
2005,9_4,C,BOER4,1.8
2005,9_3,C,HODR,0.5
2005,5_2,C,PLJA,4.85
2005,7_1,C,GUSA2,0.75
2005,5_4,C,BOGR2,0.25
2005,3_2,C,BOER4,0.35
2005,3_3,C,BAMU,0.01
2005,7_4,C,BOGR2,2.5
2005,15_1,C,PLJA,8.25
2005,12_1,C,BOER4,2.75
2005,3_2,C,PLJA,7.5
2005,3_3,C,PLJA,5.35
2005,20_2,C,SATR12,7.5
2005,9_1,C,BOER4,1.25
2005,9_4,C,CHSES,0.01
2005,15_1,C,BOER4,1
2005,3_4,C,BOGR2,1.75
2005,5_4,C,MELE2,2
2005,12_3,C,HODR,0.25
2005,7_1,C,HODR,0.75
2005,3_3,C,GUSA2,1.6
2005,2_3,C,BOGR2,7.25
2005,13_2,C,SOEL,0.6
2005,3_2,C,BAMU,0.1
2005,7_1,C,BOGR2,1.25
2005,20_2,C,CHSE7,0.01
2005,12_2,C,EPTO,11
2005,5_3,C,BOER4,0.9
2005,15_2,C,SCBR2,1.85
2005,5_4,C,BOER4,9.75
2005,3_3,C,BOGR2,2.5
2005,7_2,C,PLJA,1.25
2005,2_4,C,EUEX4,0.01
2005,13_3,C,SPCR,0.25
2005,2_2,C,SPPO6,3
2005,7_1,C,MELE2,2.75
2005,5_2,C,SATR12,10
2005,5_1,C,PLJA,4.15
2005,18_3,C,SPCR,1.5
2005,9_3,C,EUEX4,0.01
2005,12_2,C,SATR12,0.75
2005,13_3,C,SCBR2,1.9
2005,13_2,C,PLJA,9.75
2005,5_2,C,BOER4,0.1
2005,13_4,C,PLJA,12.5
2005,3_1,C,BOGR2,1.5
2005,18_1,C,MAPIP,3
2005,5_4,C,PLJA,4.15
2005,20_4,C,EPTO,4
2005,7_1,C,BOER4,1.5
2005,7_3,C,BOER4,3.1
2005,20_1,C,EUEX4,0.01
2005,15_2,C,MELE2,1.5
2005,15_4,C,MELE2,1.5
2005,15_3,C,SPCR,0.75
2005,7_3,C,PLJA,10.75
2005,9_2,C,BOER4,3.25
2005,15_4,C,SPCR,1.75
2005,20_1,C,HODR,0.76
2005,20_2,C,HODR,0.01
2005,9_2,C,EUEX4,0.01
2005,12_1,C,SATR12,0.25
2005,7_2,C,GUSA2,9
2005,2_4,C,BOGR2,4.1
2005,2_2,C,SPCR,4.5
2005,2_3,C,SPCR,2.25
2005,13_1,C,PLJA,3.5
2005,15_3,C,SATR12,12
2005,20_3,C,EPTO,0.75
2005,20_2,C,MAPIP,11
2005,7_2,C,BOER4,2.75
2005,2_4,C,SATR12,3.5
2005,13_2,C,SPCR,2.5
2005,9_3,C,MELE2,2.5
2005,3_4,C,SATR12,9.25
2005,9_1,C,EUEX4,0.01
2005,7_4,C,EUEX4,0.01
2005,20_2,C,GUSA2,4.5
2005,13_3,C,PLJA,1
2005,3_2,C,SOEL,0.25
2005,5_3,C,PLJA,2.65
2005,9_1,C,SPCR,1.75
2005,15_4,C,SATR12,19
2005,7_1,C,PLJA,1.5
2005,9_2,C,ASFE2,0.01
2005,2_1,C,SATR12,8
2005,9_4,C,MAPIP,0.3
2005,2_1,C,BOGR2,13.5
2005,18_3,C,SATR12,7.5
2005,20_4,C,SATR12,16
2005,20_4,C,EUEX4,0.01
2005,18_4,C,HODR,1.75
2005,7_4,C,PLJA,10.75
2005,18_2,C,SPCR,3
2005,12_3,C,SATR12,2.75
2005,2_1,C,SOEL,0.6
2005,13_4,C,SCBR2,2.75
2005,12_1,C,EUEX4,0.01
2005,7_1,C,SPCR,4
2005,15_1,C,SATR12,10
2005,9_2,C,SPCR,1
2005,15_1,C,CHSES,0.01
2005,9_2,C,CHSES,0.01
2005,18_4,C,SATR12,13
2005,13_3,C,EUEX4,0.01
2005,20_3,C,SATR12,4.5
2005,20_3,C,EUEX4,0.01
2005,3_2,C,EUEX4,0.01
2005,3_1,C,SATR12,1.5
2005,3_2,C,SATR12,1.5
2005,7_1,C,EUEX4,0.01
2005,18_2,C,GUSA2,6.5
2005,20_1,C,GUSA2,5
2005,13_1,C,SOEL,0.5
2005,9_3,C,SATR12,5
2005,12_4,C,SATR12,15.25
2005,13_4,C,SOEL,0.35
2005,20_4,C,BOGR2,6.65
2005,5_3,C,SPCR,0.1
2005,15_2,C,SATR12,17
2005,18_2,C,SATR12,6.5
2005,2_4,C,SPHA,4
2005,13_1,C,BOGR2,2.5
2005,5_3,C,ASFE2,0.26
2005,2_3,C,EUEX4,0.01
2005,9_1,C,MAPIP,4.75
2005,9_4,C,SPCR,3.75
2005,20_2,C,EUEX4,0.01
2005,2_3,C,HODR,0.01
2005,13_1,C,SCBR2,0.65
2005,9_3,C,ZIGR,0.5
2005,2_4,C,SPCR,1.75
2005,13_1,C,SPCR,1
2005,13_2,C,SATR12,8
2005,5_1,C,SPCR,0.75
2005,20_1,C,KAPA,0.01
2005,9_2,C,SPHA,8
2005,7_3,C,CHSES,0.01
2005,9_1,C,CHSES,0.01
2005,5_3,C,EUEX4,0.01
2005,7_4,C,MAPIP,5
2005,13_2,C,EUEX4,0.01
2005,5_4,C,SATR12,3
2005,2_2,C,BOGR2,3.25
2005,20_4,C,SPCR,0.75
2005,18_2,C,EUEX4,0.01
2005,20_4,C,MAPIP,0.1
2005,5_3,C,SATR12,4.1
2005,13_2,C,SCBR2,2.6
2005,13_3,C,SOEL,1.5
2005,13_1,C,SATR12,6
2005,12_4,C,EUEX4,0.01
2005,9_3,C,SPCR,1.75
2005,18_3,C,EUEX4,0.01
2005,5_2,C,EUEX4,0.01
2005,9_1,C,SPHA,4
2005,20_1,C,CRCR3,0.01
2005,12_2,C,SPCR,0.1
2005,12_3,C,SPCR,0.25
2005,20_1,C,CHSES,0.01
2005,13_4,C,BOGR2,4
2005,18_1,C,SPCR,0.75
2005,12_3,C,EUEX4,0.01
2005,12_4,C,SPCR,0.25
2005,3_4,C,EUEX4,0.01
2005,9_2,C,GUSA2,0.5
2005,5_1,C,EUEX4,0.01
2005,7_3,C,GUSA2,0.75
2005,9_1,C,ZIGR,1.5
2005,6_4,F,SATR12,6.5
2005,10_2,F,SPPO6,6.5
2005,4_2,F,SPCR,0.1
2005,4_3,F,SPCR,2.25
2005,6_4,F,SOEL,1.1
2005,16_2,F,PLJA,1.85
2005,19_4,F,SPCR,0.65
2005,11_1,F,MUAR2,0.1
2005,6_3,F,SOEL,0.55
2005,8_4,F,SPCR,0.35
2005,19_3,F,SPCR,1.65
2005,8_1,F,SPCR,0.85
2005,6_2,F,SATR12,3.5
2005,16_1,F,PLJA,4.35
2005,4_1,F,PLJA,10
2005,6_1,F,SPCR,1.5
2005,10_1,F,SPPO6,5
2005,8_4,F,SPPO6,5.05
2005,17_1,F,PLJA,18
2005,8_3,F,SPCR,1.35
2005,8_2,F,SPPO6,3
2005,17_3,F,SPPO6,2
2005,4_4,F,SPCR,1.5
2005,14_1,F,SATR12,7
2005,17_1,F,SATR12,3
2005,14_2,F,PLJA,6
2005,19_1,F,SATR12,15.85
2005,4_2,F,ARPU9,1
2005,16_4,F,PLJA,4.1
2005,4_1,F,SATR12,2
2005,1_3,F,SPPO6,0.75
2005,17_3,F,SATR12,0.25
2005,1_3,F,BOGR2,8.4
2005,14_2,F,SPPO6,1
2005,1_4,F,SPCR,0.15
2005,8_4,F,SATR12,4
2005,19_2,F,SATR12,14.5
2005,19_1,F,SPPO6,6
2005,19_4,F,SPPO6,8
2005,17_2,F,PLJA,15.25
2005,14_1,F,SPPO6,4
2005,19_2,F,SPCR,0.9
2005,11_4,F,SPPO6,4
2005,16_3,F,PLJA,2.5
2005,6_2,F,SOEL,0.5
2005,11_1,F,SATR12,3.75
2005,6_1,F,SOEL,0.25
2005,8_2,F,SPCR,0.9
2005,11_3,F,SPPO6,6.75
2005,16_4,F,SATR12,2
2005,19_3,F,SATR12,0.5
2005,11_4,F,BOER4,2.6
2005,10_1,F,SPCR,0.35
2005,19_1,F,CHSES,0.01
2005,4_2,F,PLJA,14.75
2005,10_1,F,BOER4,3.85
2005,19_2,F,HODR,1
2005,4_3,F,PLJA,11.25
2005,1_1,F,BOGR2,6.15
2005,10_2,F,DAPU7,0.1
2005,11_1,F,ARPU9,0.5
2005,16_3,F,SATR12,2
2005,14_3,F,SATR12,0.1
2005,14_4,F,SOEL,0.75
2005,8_1,F,EUEX4,0.01
2005,19_1,F,SPCR,0.4
2005,1_4,F,CHSES,0.01
2005,1_1,F,SPCR,0.9
2005,1_3,F,PLJA,1.85
2005,14_3,F,BOGR2,2.25
2005,19_1,F,HODR,1
2005,10_2,F,BOER4,1.25
2005,10_3,F,BOER4,2.1
2005,8_3,F,SATR12,4.25
2005,10_4,F,SATR12,4.5
2005,6_3,F,EUEX4,0.01
2005,6_4,F,EUEX4,0.01
2005,14_3,F,PLJA,3.25
2005,14_4,F,MUAR2,0.25
2005,8_3,F,GUSA2,0.1
2005,8_1,F,ASFE2,0.01
2005,1_2,F,CHSES,0.01
2005,14_4,F,PLJA,1
2005,19_4,F,BOGR2,0.9
2005,10_3,F,MAPIP,2.5
2005,19_1,F,BOER4,0.3
2005,8_2,F,SATR12,2.5
2005,19_1,F,MUAR2,0.75
2005,14_1,F,BOGR2,1.5
2005,11_4,F,CHER2,1.5
2005,11_2,F,SPCR,1.85
2005,19_3,F,HODR,0.25
2005,4_4,F,PLJA,4.25
2005,14_4,F,BOGR2,1.85
2005,14_4,F,SPCR,0.25
2005,11_4,F,SPCR,2.25
2005,10_3,F,SATR12,7
2005,1_3,F,SOEL,0.1
2005,14_3,F,SOEL,0.35
2005,6_2,F,EUEX4,0.01
2005,6_1,F,EUEX4,0.01
2005,17_3,F,PLJA,5
2005,16_4,F,SPCR,0.6
